,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2182,5434,崇越,9944819.0,2538907483.0,251.0,265.5,245.0,251.5,3.5,10570.0
951,5469,瀚宇博,2620824.0,155730254.0,59.9,60.7,58.8,58.9,-0.6,2074.0
2183,5469,瀚宇博,5803359.0,328819751.0,57.9,58.0,55.8,56.7,-1.7,3719.0
952,5471,松翰,289643.0,15533386.0,53.6,53.9,53.3,53.9,0.4,497.0
2184,5471,松翰,600192.0,30718812.0,52.2,52.3,50.6,51.2,-1.2,968.0
953,5484,慧友,136686.0,3302468.0,24.35,24.4,24.0,24.0,-0.35,164.0
2185,5484,慧友,101374.0,2368123.0,23.9,23.9,23.1,23.5,-0.4,246.0
954,5515,建國,3935671.0,90198030.0,22.35,23.2,22.35,23.0,0.35,2055.0
2186,5515,建國,8667754.0,211042907.0,23.65,25.4,22.95,24.7,1.05,5296.0
955,5519,隆大,1157222.0,45756347.0,39.0,39.8,39.0,39.8,0.7,817.0
2187,5519,隆大,2120061.0,81795591.0,39.35,39.45,38.0,38.1,-1.55,1587.0
956,5521,工信,8123236.0,111500215.0,13.9,14.05,13.6,13.6,-0.3,2746.0
2188,5521,工信,8099485.0,105529698.0,13.3,13.3,12.9,13.1,-0.2,2300.0
957,5522,遠雄,784550.0,46862514.0,59.5,59.9,59.5,59.6,-0.1,682.0
2189,5522,遠雄,1838933.0,108068621.0,59.7,59.7,58.2,58.7,-1.0,1870.0
958,5525,順天,235515.0,8044593.0,33.9,34.7,33.9,34.6,0.7,183.0
2190,5525,順天,1059607.0,35221005.0,33.95,34.05,32.7,33.2,-1.2,728.0
959,5531,鄉林,1836918.0,18127373.0,10.05,10.05,9.7,9.9,-0.1,633.0
2191,5531,鄉林,1333162.0,12739195.0,9.8,9.8,9.47,9.48,-0.32,516.0
960,5533,皇鼎,593473.0,14613542.0,24.4,24.9,24.35,24.6,0.25,283.0
2192,5533,皇鼎,631837.0,14945229.0,24.25,24.25,23.3,23.4,-1.0,368.0
961,5534,長虹,3399573.0,336326932.0,99.1,100.5,97.1,99.0,0.2,3383.0
2193,5534,長虹,5056648.0,513190719.0,104.5,104.5,99.0,100.5,-3.5,3629.0
962,5538,東明-KY,12000.0,375500.0,31.3,31.35,31.15,31.3,0.0,12.0
2194,5538,東明-KY,5060.0,157606.0,30.95,31.8,30.95,31.05,-0.85,8.0
963,5546,永固-KY,23438.0,748828.0,31.7,32.7,31.65,31.65,0.0,49.0
2195,5546,永固-KY,36028.0,1109298.0,31.35,31.95,30.1,30.8,-0.55,32.0
964,5607,遠雄港,921903.0,53033563.0,57.3,57.9,57.1,57.7,0.9,672.0
2196,5607,遠雄港,1703730.0,94740297.0,57.0,57.0,54.8,55.0,-2.3,1467.0
965,5608,四維航,6443178.0,124135144.0,18.95,19.55,18.95,19.45,0.8,3053.0
2197,5608,四維航,2689182.0,50023825.0,19.4,19.4,18.35,18.4,-0.9,1788.0
966,5706,鳳凰,2960532.0,216215264.0,73.4,75.0,72.0,73.1,-1.0,2461.0
2198,5706,鳳凰,1098684.0,75955981.0,71.1,71.3,68.1,68.4,-3.2,2136.0
967,5871,中租-KY,3620782.0,632871061.0,175.0,175.5,174.0,174.5,-1.0,3827.0
2199,5871,中租-KY,6137674.0,1048135776.0,172.0,173.0,170.0,170.0,-3.0,7909.0
968,5871A,中租-KY甲特,78087.0,7565639.0,96.9,97.0,96.8,97.0,0.1,32.0
2200,5871A,中租-KY甲特,98266.0,9520312.0,97.0,97.0,96.8,96.8,-0.2,51.0
969,5876,上海商銀,6251329.0,294567497.0,46.9,47.5,46.65,47.5,0.0,2862.0
2201,5876,上海商銀,7065450.0,328075862.0,47.15,47.25,46.1,46.1,-1.3,4287.0
970,5880,合庫金,10021806.0,260838532.0,26.0,26.1,25.95,26.05,-0.05,4033.0
2202,5880,合庫金,20301914.0,523995679.0,26.0,26.1,25.7,25.7,-0.4,11403.0
971,5906,台南-KY,24528.0,1492512.0,59.2,62.8,59.2,61.1,1.5,34.0
2203,5906,台南-KY,8224.0,487517.0,59.0,61.0,58.5,59.1,-1.4,44.0
972,5907,大洋-KY,319492.0,2919922.0,8.95,9.34,8.92,9.08,0.07,211.0
2204,5907,大洋-KY,180013.0,1587862.0,9.01,9.01,8.71,8.75,-0.26,142.0
973,6005,群益證,11200977.0,242425513.0,21.8,21.8,21.4,21.75,0.2,3832.0
